,GENE ID,LOCUS TAG,PRODUCT NAME,SCAFFOLD ID,GENE SEQ LENGTH,READS COUNT,COVERAGE, MEDIAN,READS COUNT ANTISENSE,COVERAGE ANTISENSE,MEDIAN ANTISENSE
229,3300043289 assembled Ga0435281_068122_1_519,,elongation factor G,Ga0435281_068122,519,14,4.74026830062144e-09,4.0,0,0.0,0.0
2160,3300043289 assembled Ga0435281_002312_2122_2886,,elongation factor G,Ga0435281_002312,765,31,7.1210249009055405e-09,3.0,33,7.58044586225429e-09,5.0
2839,3300043289 assembled Ga0435281_000151_3787_5832,,elongation factor G,Ga0435281_000151,2046,88,7.55821581573741e-09,5.0,97,8.33121516052874e-09,7.0
3285,3300043289 assembled Ga0435281_003624_893_2344,,elongation factor G,Ga0435281_003624,1452,205,2.48101557381256e-08,15.0,0,0.0,0.0
3437,3300043289 assembled Ga0435281_078190_2_478,,elongation factor G,Ga0435281_078190,477,12,4.42084321297849e-09,3.0,0,0.0,0.0
3838,3300043289 assembled Ga0435281_120961_62_373,,elongation factor G,Ga0435281_120961,312,7,3.9426270000361e-09,3.0,0,0.0,0.0
4648,3300043289 assembled Ga0435281_110948_2_379,,elongation factor G,Ga0435281_110948,378,6,2.7893415510459503e-09,2.0,5,2.32445129253829e-09,2.0
5267,3300043289 assembled Ga0435281_113608_192_386,,transcription elongation factor GreA,Ga0435281_113608,195,1,9.01171885722537e-10,1.0,5,4.50585942861269e-09,3.0
6220,3300043289 assembled Ga0435281_150126_1_330,,elongation factor G,Ga0435281_150126,330,5,2.66255329872568e-09,2.0,3,1.5975319792354102e-09,1.0
6610,3300043289 assembled Ga0435281_115883_3_359,,elongation factor G,Ga0435281_115883,357,3,1.4767102329066802e-09,1.0,1,4.92236744302226e-10,0.0
7382,3300043289 assembled Ga0435281_134603_1_351,,elongation factor G,Ga0435281_134603,351,6,3.00390628574179e-09,2.0,0,0.0,0.0
7385,3300043289 assembled Ga0435281_006264_2_592,,elongation factor G,Ga0435281_006264,591,164,4.8763920313717e-08,17.0,2,5.94681955045329e-10,0.0
8674,3300043289 assembled Ga0435281_076201_1_486,,elongation factor G,Ga0435281_076201,486,8,2.8926504973809804e-09,3.0,4,1.4463252486904902e-09,1.0
9015,3300043289 assembled Ga0435281_156841_1_321,,elongation factor G,Ga0435281_156841,321,6,3.2846451909513e-09,3.0,0,0.0,0.0
9178,3300043289 assembled Ga0435281_035502_1_744,,elongation factor G,Ga0435281_035502,744,28,6.61343883877023e-09,5.0,30,7.08582732725382e-09,6.0
9468,3300043289 assembled Ga0435281_133498_263_352,,elongation factor G,Ga0435281_133498,90,4,7.81015634292866e-09,3.0,0,0.0,0.0
9632,3300043289 assembled Ga0435281_114457_1_384,,elongation factor G,Ga0435281_114457,384,16,7.32202157149562e-09,6.0,0,0.0,0.0
9833,3300043289 assembled Ga0435281_148329_26_334,,elongation factor G,Ga0435281_148329,309,2,1.13740140916437e-09,1.0,4,2.27480281832874e-09,1.0
9892,3300043289 assembled Ga0435281_167828_24_308,,elongation factor G,Ga0435281_167828,285,2,1.23318258046242e-09,1.0,4,2.46636516092484e-09,1.0
10606,3300043289 assembled Ga0435281_094438_62_415,,transcription elongation factor GreA,Ga0435281_094438,354,22,1.09209813269765e-08,8.0,2,9.92816484270592e-10,1.0
10656,3300043289 assembled Ga0435281_089736_3_440,,elongation factor G,Ga0435281_089736,438,2,8.02413322903629e-10,1.0,11,4.4132732759699605e-09,4.0
11388,3300043289 assembled Ga0435281_172423_2_304,,transcription elongation factor GreA,Ga0435281_172423,303,2,1.1599242093458401e-09,0.0,5,2.8998105233646e-09,2.0
11721,3300043289 assembled Ga0435281_066295_1_249,,elongation factor G,Ga0435281_066295,249,29,2.04663735492408e-08,22.0,0,0.0,0.0
11821,3300043289 assembled Ga0435281_080043_28_471,,elongation factor G,Ga0435281_080043,444,10,3.9578494981057405e-09,2.0,2,7.91569899621148e-10,0.0
12729,3300043289 assembled Ga0435281_056317_3_281,,elongation factor G,Ga0435281_056317,279,7,4.40895922584682e-09,4.0,3,1.88955395393435e-09,0.0
14048,3300043289 assembled Ga0435281_000346_1172_3289,,elongation factor G,Ga0435281_000346,2118,1629,1.35156636146928e-07,96.0,0,0.0,0.0
14276,3300043289 assembled Ga0435281_002728_6_188,,elongation factor G,Ga0435281_002728,183,3,2.8807953723917204e-09,2.0,5,4.80132562065286e-09,4.0
14584,3300043289 assembled Ga0435281_054790_2_586,,elongation factor G,Ga0435281_054790,585,4,1.2015625142967202e-09,1.0,8,2.4031250285934304e-09,2.0
15863,3300043289 assembled Ga0435281_065972_1_153,,elongation factor G,Ga0435281_065972,153,21,2.41196004708091e-08,7.0,0,0.0,0.0
16133,3300043289 assembled Ga0435281_104864_162_404,,elongation factor G,Ga0435281_104864,243,6,4.338975746071481e-09,2.0,0,0.0,0.0
17159,3300043289 assembled Ga0435281_140137_2_280,,elongation factor G,Ga0435281_140137,279,3,1.88955395393435e-09,2.0,2,1.2597026359562402e-09,1.0
17400,3300043289 assembled Ga0435281_107678_1_399,,elongation factor G,Ga0435281_107678,399,18,7.9276023029727e-09,6.0,0,0.0,0.0
17794,3300043289 assembled Ga0435281_032390_1_783,,elongation factor G,Ga0435281_032390,783,44,9.87491031864543e-09,6.0,0,0.0,0.0
18107,3300043289 assembled Ga0435281_014007_5_1213,,elongation factor G,Ga0435281_014007,1209,70,1.01745212904157e-08,8.0,2,2.90700608297593e-10,0.0
19173,3300043289 assembled Ga0435281_107575_3_395,,elongation factor G,Ga0435281_107575,393,1,4.47146355511183e-10,0.0,11,4.9186099106230106e-09,4.0
19824,3300043289 assembled Ga0435281_011253_1110_1355,,elongation factor G,Ga0435281_011253,246,81,5.78618290040141e-08,48.0,0,0.0,0.0
20995,3300043289 assembled Ga0435281_105798_3_401,,elongation factor G,Ga0435281_105798,399,5,2.20211175082575e-09,1.0,2,8.808447003303e-10,0.0
21349,3300043289 assembled Ga0435281_001171_123_2120,,elongation factor G,Ga0435281_001171,1998,49,4.3096583423818e-09,3.0,54,4.74941939772689e-09,3.0
22104,3300043289 assembled Ga0435281_108956_1_372,,elongation factor G,Ga0435281_108956,372,16,7.55821581573741e-09,7.0,1,4.72388488483588e-10,0.0
22982,3300043289 assembled Ga0435281_144697_2_337,,elongation factor G,Ga0435281_144697,336,2,1.0460030816422302e-09,1.0,2,1.0460030816422302e-09,1.0
24251,3300043289 assembled Ga0435281_116883_2_379,,elongation factor G,Ga0435281_116883,378,3,1.3946707755229702e-09,1.0,3,1.3946707755229702e-09,1.0
25228,3300043289 assembled Ga0435281_046793_2_502,,elongation factor G,Ga0435281_046793,501,10,3.50755524383024e-09,3.0,7,2.4552886706811603e-09,1.0
25265,3300043289 assembled Ga0435281_146636_1_336,,elongation factor G,Ga0435281_146636,336,4,2.0920061632844604e-09,2.0,0,0.0,0.0
25320,3300043289 assembled Ga0435281_060226_235_555,,elongation factor G,Ga0435281_060226,321,12,6.569290381902611e-09,3.0,3,1.6423225954756502e-09,0.0
26216,3300043289 assembled Ga0435281_062823_48_542,,elongation factor G,Ga0435281_062823,495,7,2.4850497454773e-09,2.0,2,7.100142129935141e-10,1.0
27136,3300043289 assembled Ga0435281_175945_3_278,,elongation factor G,Ga0435281_175945,276,2,1.27339505591228e-09,0.0,1,6.36697527956141e-10,1.0
