,GENE ID,LOCUS TAG,PRODUCT NAME,SCAFFOLD ID,GENE SEQ LENGTH,READS COUNT,COVERAGE, MEDIAN,READS COUNT ANTISENSE,COVERAGE ANTISENSE,MEDIAN ANTISENSE
71,3300048829 assembled Ga0498908_64355_45_341,,small subunit ribosomal protein S17e,Ga0498908_64355,297,12,3.1712948345275804e-09,6.0,0,0.0,0.0
15211,3300048829 assembled Ga0498908_56132_52_315,,small subunit ribosomal protein S17e,Ga0498908_56132,264,31,9.21657561284579e-09,11.0,0,0.0,0.0
17560,3300048829 assembled Ga0498908_13694_208_663,,small subunit ribosomal protein S17e,Ga0498908_13694,456,27,4.6474073973093405e-09,8.0,0,0.0,0.0
67415,3300048829 assembled Ga0498908_31019_36_407,,small subunit ribosomal protein S17e,Ga0498908_31019,372,131,2.76401362291588e-08,51.0,0,0.0,0.0
473,3300055431 assembled Ga0505481_18737_131_553,,small subunit ribosomal protein S17e,Ga0505481_18737,423,2191,2.833140824647e-07,716.0,0,0.0,0.0
2994,3300055431 assembled Ga0505481_18509_105_560,,small subunit ribosomal protein S17e,Ga0505481_18509,456,467,5.60167863390098e-08,128.0,0,0.0,0.0
4154,3300055431 assembled Ga0505481_23978_66_494,,small subunit ribosomal protein S17e,Ga0505481_23978,429,281,3.58273906966321e-08,94.0,0,0.0,0.0
5655,3300055431 assembled Ga0505481_22221_86_412,,small subunit ribosomal protein S17e,Ga0505481_22221,327,2722,4.55309299000988e-07,1093.0,0,0.0,0.0
6629,3300055431 assembled Ga0505481_18118_149_565,,small subunit ribosomal protein S17e,Ga0505481_18118,417,860,1.12805051534136e-07,314.0,0,0.0,0.0
12137,3300055431 assembled Ga0505481_25407_62_457,,small subunit ribosomal protein S17e,Ga0505481_25407,396,64,8.83997303072298e-09,20.0,0,0.0,0.0
12236,3300055431 assembled Ga0505481_17584_152_571,,small subunit ribosomal protein S17e,Ga0505481_17584,420,901,1.17338802733253e-07,261.0,0,0.0,0.0
15956,3300055431 assembled Ga0505481_25954_38_460,,small subunit ribosomal protein S17e,Ga0505481_25954,423,2083,2.69348805921484e-07,688.0,0,0.0,0.0
18827,3300055431 assembled Ga0505481_22902_57_503,,small subunit ribosomal protein S17e,Ga0505481_22902,447,94,1.15023474586001e-08,35.0,0,0.0,0.0
20702,3300055431 assembled Ga0505481_14877_252_668,,small subunit ribosomal protein S17e,Ga0505481_14877,417,978,1.28282953953936e-07,275.0,0,0.0,0.0
5157,3300055391 assembled Ga0505482_28537_118_573,,small subunit ribosomal protein S17e,Ga0505482_28537,456,577,4.58882152172296e-08,157.0,0,0.0,0.0
8217,3300055391 assembled Ga0505482_39340_46_471,,small subunit ribosomal protein S17e,Ga0505482_39340,426,662,5.6355795738259e-08,229.0,0,0.0,0.0
28848,3300055391 assembled Ga0505482_19474_53_508,,small subunit ribosomal protein S17e,Ga0505482_19474,456,1975,1.57069714131765e-07,542.0,0,0.0,0.0
35310,3300055391 assembled Ga0505482_37891_107_517,,small subunit ribosomal protein S17e,Ga0505482_37891,411,119,1.05001459455433e-08,31.0,0,0.0,0.0
37251,3300055391 assembled Ga0505482_20745_36_452,,small subunit ribosomal protein S17e,Ga0505482_20745,417,627,5.45282653150487e-08,165.0,0,0.0,0.0
39738,3300055391 assembled Ga0505482_27579_150_581,,small subunit ribosomal protein S17e,Ga0505482_27579,432,26,2.18262837640202e-09,5.0,0,0.0,0.0
42197,3300055391 assembled Ga0505482_32585_38_460,,small subunit ribosomal protein S17e,Ga0505482_32585,423,634,5.43549482411345e-08,225.0,0,0.0,0.0
44585,3300055391 assembled Ga0505482_33978_35_451,,small subunit ribosomal protein S17e,Ga0505482_33978,417,401,3.48737390611396e-08,141.0,0,0.0,0.0
45497,3300055391 assembled Ga0505482_36453_74_445,,small subunit ribosomal protein S17e,Ga0505482_36453,372,4504,4.39082004296935e-07,1629.0,0,0.0,0.0
54680,3300048830 assembled Ga0498909_113476_3_353,,small subunit ribosomal protein S17e,Ga0498909_113476,351,24,3.4115555689970804e-09,6.0,0,0.0,0.0
86854,3300048830 assembled Ga0498909_065399_36_407,,small subunit ribosomal protein S17e,Ga0498909_065399,372,71,9.522779607412221e-09,24.0,2,2.68247312884851e-10,0.0
149379,3300048830 assembled Ga0498909_155162_3_308,,small subunit ribosomal protein S17e,Ga0498909_155162,306,12,1.9566274586895e-09,6.0,0,0.0,0.0
149555,3300048830 assembled Ga0498909_025487_315_533,,small subunit ribosomal protein S17e,Ga0498909_025487,219,23,5.24000915306573e-09,7.0,0,0.0,0.0
174273,3300048830 assembled Ga0498909_090179_1_369,,small subunit ribosomal protein S17e,Ga0498909_090179,369,8,1.0817127413893201e-09,4.0,0,0.0,0.0
