GENE ID	LOCUS TAG	PRODUCT NAME	SCAFFOLD ID	GENE SEQ LENGTH	READS COUNT	COVERAGE	 MEDIAN	READS COUNT ANTISENSE	COVERAGE ANTISENSE	MEDIAN ANTISENSE
3300055431 assembled Ga0505481_05981_87_1040	null	regulator of protease activity HflC (stomatin/prohibitin superfamily)	Ga0505481_05981	954	211	1.20976281865024e-08	21	28	1.60537246076809e-09	0
3300055431 assembled Ga0505481_24943_3_191	null	hypothetical protein	Ga0505481_24943	189	25	7.23509697455006e-09	17	0	0	0
3300055431 assembled Ga0505481_17689_3_326	null	hypothetical protein	Ga0505481_17689	324	20	3.37637858812336e-09	10	46	7.76567075268373e-09	17
3300055431 assembled Ga0505481_23289_2_163	null	malate dehydrogenase	Ga0505481_23289	162	18	6.07748145862205e-09	12	0	0	0
3300055431 assembled Ga0505481_06862_902_1036	null	hypothetical protein	Ga0505481_06862	135	18	7.29297775034646e-09	18	0	0	0
3300055431 assembled Ga0505481_04268_204_1253	null	transposase	Ga0505481_04268	1050	10	5.20926982167604e-10	0	386	2.01077815116695e-08	50
3300055431 assembled Ga0505481_03888_2_1333	null	elongation factor 1-alpha	Ga0505481_03888	1332	361	1.48241270713686e-08	38	0	0	0
3300055431 assembled Ga0505481_10824_432_725	null	hypothetical protein	Ga0505481_10824	294	111	2.065103393593e-08	44	0	0	0
3300055431 assembled Ga0505481_11478_2_766	null	glutamate N-acetyltransferase/amino-acid N-acetyltransferase	Ga0505481_11478	765	127	9.080472297e-09	23	0	0	0
3300055431 assembled Ga0505481_21167_2_547	null	GAF domain-containing protein	Ga0505481_21167	546	56	5.60998288488189e-09	14	0	0	0
3300055431 assembled Ga0505481_14950_160_354	null	hypothetical protein	Ga0505481_14950	195	65	1.82324443758661e-08	34	0	0	0
3300055431 assembled Ga0505481_03384_3_473	null	hypothetical protein	Ga0505481_03384	471	125	1.45162773693202e-08	24	0	0	0
3300055431 assembled Ga0505481_18266_90_542	null	ATP-dependent Clp protease adaptor protein ClpS	Ga0505481_18266	453	98	1.18329771446019e-08	25	0	0	0
