,GENE ID,LOCUS TAG,PRODUCT NAME,SCAFFOLD ID,GENE SEQ LENGTH,READS COUNT,COVERAGE, MEDIAN,READS COUNT ANTISENSE,COVERAGE ANTISENSE,MEDIAN ANTISENSE
115,3300048829 assembled Ga0498908_67952_88_333,,HSP20 family protein,Ga0498908_67952,246,40,1.2762527992611e-08,14.0,0,0.0,0.0
464,3300048829 assembled Ga0498908_54843_29_340,,HSP20 family protein,Ga0498908_54843,312,28,7.043933718998771e-09,10.0,0,0.0,0.0
548,3300048829 assembled Ga0498908_44240_174_398,,HSP20 family protein,Ga0498908_44240,225,5,1.74421215899017e-09,2.0,0,0.0,0.0
651,3300048829 assembled Ga0498908_20504_22_462,,HSP20 family protein,Ga0498908_20504,441,64,1.13907732832011e-08,5.0,0,0.0,0.0
728,3300048829 assembled Ga0498908_29518_1_204,,HSP20 family protein,Ga0498908_29518,204,37,1.42358492388168e-08,25.0,0,0.0,0.0
1594,3300048829 assembled Ga0498908_27759_2_424,,HSP20 family protein,Ga0498908_27759,423,20,3.7110896999790903e-09,5.0,0,0.0,0.0
2071,3300048829 assembled Ga0498908_10511_46_591,,HSP20 family protein,Ga0498908_10511,546,51,7.33144121773341e-09,10.0,0,0.0,0.0
2303,3300048829 assembled Ga0498908_26251_2_475,,HSP20 family protein,Ga0498908_26251,474,2331,3.8598973505754e-07,693.0,4,6.62359047717786e-10,0.0
2781,3300048829 assembled Ga0498908_61021_3_347,,HSP20 family protein,Ga0498908_61021,345,13,2.9575771391572503e-09,4.0,0,0.0,0.0
3178,3300048829 assembled Ga0498908_29709_3_419,,HSP20 family protein,Ga0498908_29709,417,21,3.9527110077834805e-09,7.0,0,0.0,0.0
3413,3300048829 assembled Ga0498908_29722_4_438,,HSP20 family protein,Ga0498908_29722,435,122,2.20131603513932e-08,31.0,0,0.0,0.0
3900,3300048829 assembled Ga0498908_41533_2_397,,HSP20 family protein,Ga0498908_41533,396,40,7.928237086318961e-09,15.0,0,0.0,0.0
5027,3300048829 assembled Ga0498908_12621_394_693,,HSP20 family protein,Ga0498908_12621,300,28,7.32569106775872e-09,13.0,1,2.61631823848526e-10,0.0
5178,3300048829 assembled Ga0498908_20881_82_513,,HSP20 family protein,Ga0498908_20881,432,24,4.36053039747543e-09,7.0,0,0.0,0.0
5371,3300048829 assembled Ga0498908_29164_3_407,,HSP20 family protein,Ga0498908_29164,405,198,3.83726674977838e-08,65.0,0,0.0,0.0
5805,3300048829 assembled Ga0498908_50481_49_360,,HSP20 family protein,Ga0498908_50481,312,39,9.81119339431971e-09,17.0,0,0.0,0.0
6002,3300048829 assembled Ga0498908_39111_1_93,,HSP20 family protein,Ga0498908_39111,93,5,4.21986812658912e-09,4.0,2,1.6879472506356501e-09,2.0
6370,3300048829 assembled Ga0498908_38610_2_379,,HSP20 family protein,Ga0498908_38610,378,5,1.03822152320843e-09,2.0,0,0.0,0.0
