,GENE ID,LOCUS TAG,PRODUCT NAME,SCAFFOLD ID,GENE SEQ LENGTH,READS COUNT,COVERAGE, MEDIAN,READS COUNT ANTISENSE,COVERAGE ANTISENSE,MEDIAN ANTISENSE
277,3300048829 assembled Ga0498908_20712_39_557,,elongation factor Tu,Ga0498908_20712,519,22,3.32710989865177e-09,6.0,0,0.0,0.0
376,3300048829 assembled Ga0498908_19607_2_226,,elongation factor Tu,Ga0498908_19607,225,46,1.60467518627096e-08,24.0,0,0.0,0.0
521,3300048829 assembled Ga0498908_39981_22_201,,elongation factor Tu,Ga0498908_39981,180,20,8.72106079495085e-09,15.0,0,0.0,0.0
544,3300048829 assembled Ga0498908_17733_462_596,,elongation factor Tu,Ga0498908_17733,135,13,7.55825268895741e-09,12.0,0,0.0,0.0
1359,3300048829 assembled Ga0498908_43297_3_404,,elongation factor Tu,Ga0498908_43297,402,55,1.07386196355738e-08,19.0,0,0.0,0.0
2118,3300048829 assembled Ga0498908_60429_3_338,,elongation factor Tu,Ga0498908_60429,336,15,3.5039976408284703e-09,6.0,0,0.0,0.0
3662,3300048829 assembled Ga0498908_61859_2_346,,elongation factor Tu,Ga0498908_61859,345,6,1.3650356026879601e-09,2.0,0,0.0,0.0
4483,3300048829 assembled Ga0498908_13928_2_550,,elongation factor Tu,Ga0498908_13928,549,48,6.862474068158051e-09,12.0,0,0.0,0.0
4813,3300048829 assembled Ga0498908_47394_3_380,,elongation factor Tu,Ga0498908_47394,378,24,4.9834633114004905e-09,11.0,0,0.0,0.0
5092,3300048829 assembled Ga0498908_53132_238_369,,elongation factor Tu,Ga0498908_53132,132,7,4.1623244703174504e-09,1.0,0,0.0,0.0
5834,3300048829 assembled Ga0498908_00806_398_1600,,elongation factor Tu,Ga0498908_00806,1203,131,8.547074544677521e-09,14.0,0,0.0,0.0
6127,3300048829 assembled Ga0498908_83870_16_300,,elongation factor Tu,Ga0498908_83870,285,9,2.4786172785649803e-09,5.0,0,0.0,0.0
