,GENE ID,LOCUS TAG,PRODUCT NAME,SCAFFOLD ID,GENE SEQ LENGTH,READS COUNT,COVERAGE, MEDIAN,READS COUNT ANTISENSE,COVERAGE ANTISENSE,MEDIAN ANTISENSE
2801,3300048829 assembled Ga0498908_59853_130_351,,nitrous oxide reductase,Ga0498908_59853,222,8,2.82845214971379e-09,4.0,0,0.0,0.0
77630,3300048829 assembled Ga0498908_64109_142_342,,nitrous oxide reductase,Ga0498908_64109,201,12,4.685943113704941e-09,7.0,0,0.0,0.0
81217,3300048829 assembled Ga0498908_82459_1_216,,nitrous oxide reductase,Ga0498908_82459,216,14,5.08728546372133e-09,10.0,0,0.0,0.0
28598,3300055431 assembled Ga0505481_15034_3_137,,nitrous oxide reductase,Ga0505481_15034,135,17,6.887812319771651e-09,5.0,0,0.0,0.0
2452,3300048830 assembled Ga0498909_126571_191_340,,nitrous oxide reductase,Ga0498909_126571,150,8,2.66101334381773e-09,3.0,0,0.0,0.0
3133,3300048830 assembled Ga0498909_131713_131_334,,nitrous oxide reductase,Ga0498909_131713,204,6,1.46747059401713e-09,3.0,0,0.0,0.0
14737,3300048830 assembled Ga0498909_082657_155_361,,nitrous oxide reductase,Ga0498909_082657,207,6,1.4462029042487602e-09,3.0,0,0.0,0.0
91526,3300048830 assembled Ga0498909_156043_67_309,,nitrous oxide reductase,Ga0498909_156043,243,10,2.05325103689639e-09,6.0,0,0.0,0.0
165234,3300048830 assembled Ga0498909_040001_3_110,,nitrous oxide reductase,Ga0498909_040001,108,4,1.8479259332067502e-09,2.0,0,0.0,0.0
168274,3300048830 assembled Ga0498909_140939_1_231,,nitrous oxide reductase,Ga0498909_140939,231,4,8.63965371369392e-10,2.0,0,0.0,0.0
