,GENE ID,LOCUS TAG,PRODUCT NAME,SCAFFOLD ID,GENE SEQ LENGTH,READS COUNT,COVERAGE, MEDIAN,READS COUNT ANTISENSE,COVERAGE ANTISENSE,MEDIAN ANTISENSE
344,3300043289 assembled Ga0435281_001133_17_1894,,excinuclease ABC subunit C,Ga0435281_001133,1878,59,5.520757478827371e-09,4.0,54,5.05289667553691e-09,5.0
6392,3300043289 assembled Ga0435281_117631_1_378,,excinuclease ABC subunit C,Ga0435281_117631,378,3,1.3946707755229702e-09,1.0,2,9.29780517015316e-10,1.0
11622,3300043289 assembled Ga0435281_016913_69_1103,,excinuclease ABC subunit C,Ga0435281_016913,1035,13,2.20721809691462e-09,2.0,20,3.3957201490994203e-09,2.0
12753,3300043289 assembled Ga0435281_022736_2_946,,excinuclease ABC subunit C,Ga0435281_022736,945,23,4.27699037827046e-09,3.0,15,2.7893415510459503e-09,2.0
18021,3300043289 assembled Ga0435281_034023_13_711,,excinuclease ABC subunit C,Ga0435281_034023,699,29,7.290596586210231e-09,7.0,23,5.7821972925115605e-09,4.0
18722,3300043289 assembled Ga0435281_155584_1_324,,excinuclease ABC subunit C,Ga0435281_155584,324,2,1.0847439365178702e-09,1.0,4,2.1694878730357404e-09,2.0
19514,3300043289 assembled Ga0435281_171130_1_306,,excinuclease ABC subunit C,Ga0435281_171130,306,2,1.1485524033718602e-09,1.0,2,1.1485524033718602e-09,1.0
26943,3300043289 assembled Ga0435281_122165_37_363,,excinuclease ABC subunit C,Ga0435281_122165,327,4,2.14958431456752e-09,2.0,5,2.6869803932094e-09,2.0
29656,3300043289 assembled Ga0435281_072674_1_213,,excinuclease ABC subunit C,Ga0435281_072674,213,3,2.47504954529429e-09,2.0,0,0.0,0.0
32311,3300043289 assembled Ga0435281_003943_833_2245,,excinuclease ABC subunit C,Ga0435281_003943,1413,22,2.73604203096227e-09,2.0,41,5.098987421338771e-09,4.0
32754,3300043289 assembled Ga0435281_141179_3_341,,excinuclease ABC subunit C,Ga0435281_141179,339,2,1.0367464172029201e-09,1.0,2,1.0367464172029201e-09,1.0
33678,3300043289 assembled Ga0435281_086357_1_234,,excinuclease ABC subunit C,Ga0435281_086357,234,2,1.5019531428709e-09,1.0,4,3.00390628574179e-09,3.0
34692,3300043289 assembled Ga0435281_052281_2_601,,excinuclease ABC subunit C,Ga0435281_052281,600,9,2.6359277657384203e-09,2.0,9,2.6359277657384203e-09,3.0
36617,3300043289 assembled Ga0435281_110922_2_388,,excinuclease ABC subunit C,Ga0435281_110922,387,2,9.0815771429403e-10,1.0,0,0.0,0.0
38423,3300043289 assembled Ga0435281_167411_1_309,,excinuclease ABC subunit C,Ga0435281_167411,309,1,5.68700704582184e-10,0.0,1,5.68700704582184e-10,0.0
41944,3300043289 assembled Ga0435281_002563_2375_2761,,excinuclease ABC subunit C,Ga0435281_002563,387,15,6.8111828572052205e-09,5.0,10,4.540788571470151e-09,2.0
42390,3300043289 assembled Ga0435281_000832_3508_3810,,excinuclease ABC subunit C,Ga0435281_000832,303,12,6.959545256075041e-09,4.0,18,1.04393178841126e-08,7.0
42609,3300043289 assembled Ga0435281_090964_1_402,,excinuclease ABC subunit C,Ga0435281_090964,402,3,1.31140684862608e-09,1.0,3,1.31140684862608e-09,1.0
42629,3300043289 assembled Ga0435281_111928_18_389,,excinuclease ABC subunit C,Ga0435281_111928,372,3,1.41716546545076e-09,1.0,1,4.72388488483588e-10,0.0
46518,3300043289 assembled Ga0435281_051094_1_609,,excinuclease ABC subunit C,Ga0435281_051094,609,11,3.1740783167074603e-09,3.0,15,4.328288613691991e-09,3.0
48870,3300043289 assembled Ga0435281_164688_3_311,,excinuclease ABC subunit C,Ga0435281_164688,309,4,2.27480281832874e-09,2.0,0,0.0,0.0
52550,3300043289 assembled Ga0435281_056938_331_573,,excinuclease ABC subunit C,Ga0435281_056938,243,6,4.338975746071481e-09,2.0,4,2.8926504973809804e-09,1.0
